date,timestamp,count
2025-05-03,00:29:00,5935
2025-05-03,00:59:00,874
2025-05-03,03:29:00,0
2025-05-03,05:29:00,12
2025-05-03,05:59:00,7328
2025-05-03,06:29:00,13625
2025-05-03,06:59:00,19229
2025-05-03,07:29:00,28854
2025-05-03,07:59:00,33337
2025-05-03,08:29:00,42152
2025-05-03,08:59:00,44407
2025-05-03,09:29:00,48857
2025-05-03,09:59:00,51771
2025-05-03,10:29:00,55461
2025-05-03,10:59:00,59920
2025-05-03,11:29:00,62257
2025-05-03,11:59:00,61284
2025-05-03,12:29:00,69901
2025-05-03,12:59:00,71480
2025-05-03,13:29:00,72138
2025-05-03,13:59:00,69031
2025-05-03,14:29:00,67835
2025-05-03,14:59:00,66273
2025-05-03,15:29:00,67879
2025-05-03,15:59:00,68722
2025-05-03,16:29:00,75509
2025-05-03,16:59:00,81722
2025-05-03,17:29:00,88974
2025-05-03,17:59:00,83249
2025-05-03,18:29:00,76587
2025-05-03,18:59:00,66968
2025-05-03,19:29:00,60905
2025-05-03,19:59:00,53752
2025-05-03,20:29:00,54885
2025-05-03,20:59:00,56687
2025-05-03,21:29:00,54601
2025-05-03,21:59:00,48823
2025-05-03,22:29:00,42807
2025-05-03,22:59:00,25347
2025-05-03,23:29:00,15172
